country,description,points,price,province,region_1,variety,winery
Argentina,"Leather, blueberry, blackberry and mild herbal notes make for a rich, ribald bouquet. Given the nose, it's no surprise that this Malbec is dense, jammy and a bit oversaturated in the mouth. Flavors of blackberry, prune, mint and graphite finish with lushness. Drink now through 2016.",91,34.0,Mendoza Province,Mendoza,Malbec,Pascual Toso
France,"A big, rich style of Sancerre, but one that doesn't forget its mineral, flinty roots. The acidity has an edge of sweetness, opened by delicious berry fruit flavors, tangy in its citrus freshness. It could age for another 1–2 years.",90,24.0,Loire Valley,Sancerre,Sauvignon Blanc,Domaine Masson-Blondelet
US,"With hard, astringent tannins that give a dry scrubbing to the palate, this Cab isn't offering immediate pleasure, despite a core of ripe blackberry and cherry fruit. The question is, where's it going?",84,40.0,California,Napa Valley,Cabernet Sauvignon,Trueblood
US,"This is built to impress through its sheer power. With a little Petit Verdot blended in, which adds a floral character, it's marked by an intense flavor of ripe wild blackberries, with a dried berry quality that's suggestive of currants and a liqueur fullness, courtesy of the high alcohol. The French oak is a full 100% new, and is in keeping with the wine's volume. So rich and tannic now, it's barely drinkable. Give it at least 6–8 years in a good cellar and see what happens.",94,125.0,California,Napa Valley,Cabernet Sauvignon,David Arthur
France,"From Vendôme on the River Loir north of the Loire itself, this is a dry, lightly perfumed wine with a tight tannic edge as well as bright citrus and pink grapefruit flavors. A rosé for food.",86,24.0,Loire Valley,Coteaux du Vendômois,Pineau d'Aunis,Les Vignerons du Vendômois
US,"Don't reject this Syrah, Petite Sirah and Cabernet blend because it's non-vintage. So are many great Champagnes. Made from the 2006 and 2007 vintages, it's absolutely delicious, so stuffed with blackberry, black currant and bacon flavors, you can't help but be impressed. It's also very young and fresh in acids and tannins, so give it a year or two in order to knit together.",93,65.0,California,Paso Robles,Red Blend,Falcone
US,"Tannic and earthy, with tobacco, sage, blackberry, currant and cedar flavors. The structure shows some real elegance and balance. Could develop bottle complexity for a few years.",87,25.0,California,Paso Robles,Bordeaux-style Red Blend,Hidden Oak
Argentina,"Hard black fruit and notes of tire rubber and tar indicate that this is a dark, masculine wine. And while it does offer power, it's actually quite racy and balanced in the mouth. Flavorwise, expect black raspberry and some bitter cocoa. Overall, there's nothing unripe about it.",88,11.0,Mendoza Province,Mendoza,Malbec,Luigi Bosca
US,"Soft and delicious, if a little one-dimensional. No denying the lushness of the pineapple, orange and golden apricot fruit flavors, or the pretty spices. Sémillon adds a cashew nut oiliness. Could use greater dryness and acidity.",87,27.0,California,Napa Valley,Sauvignon Blanc,Duckhorn
US,"Plump and juicy flavors of bramble, red currant and raspberry lead into a smooth, satisfying middle with a streak of caramel running right through it. Excellent flavor and persistence for such a young wine. Just a little thin as it fades.",89,28.0,Washington,Columbia Valley (WA),Grenache,Novelty Hill
Italy,"Here's an easy-going and traditional expression of Barbera that is not overstated or exaggerated in any way. In fact, fruit intensity is measured and the wine presents an informal, no-fuss but elegant front. You'll get aromas of cherry, blackberry and spice.",86,11.0,Piedmont,Barbera d'Alba,Barbera,Palladino
France,"A deep ruby wine with brilliant reflections. It has a youthful, fruit-driven nose backed by mineral undertones. Opulent bramble fruit appears on the nose, with blueberry flavors on the palate highlighted by a dusting of cocoa powder. Supple and smooth tannins finish lightly dusty and moderate acidity aids the medium finish. Drink now–2015.",90,24.0,Languedoc-Roussillon,Corbières,Rhône-style Red Blend,Domaine la Bouysse
Italy,"There's a crisp, easy quality to this metodo classico Italian sparkler that makes it ideal for smoked salmon or raw tuna appetizers. The wine is lean and bright with a fine note of citrus and lime on the finish.",87,24.0,Lombardy,Franciacorta,Sparkling Blend,Tenuta Montedelma di Berardi
Australia,"A Yarra Valley classic, Dry Red No. 1 is a Bordeaux-style blend marked by its restrained alcohol levels yet potent flavors. The 2007 features scents of tobacco, vanilla and cassis, with a hint of tomato emerging on the palate. It's medium-bodied, with a long finish that finishes with firm but silky tannins and lip-smacking cassis. Approachable now, but should age well for 10–15 years.",92,75.0,Victoria,Yarra Valley,Red Blend,Yarra Yering
US,"Still dry and tannic, this has a hard, brittle mouthfeel and lots of tart acidity. It has a gigantic core of blackberry fruit.",87,40.0,California,Napa Valley,Cabernet Sauvignon,Houdini
Australia,"This is a big, loud Shiraz, bursting with blackberry fruit and scents of cola, vanilla and toast. The flavors favor blackberries but also blend in hints of fruitcake and spice that easily conceal its 14.9% alcohol. Long and lush on the finish, this is delicious now but should also hold at least five years.",91,30.0,South Australia,McLaren Vale,Shiraz,Chapel Hill
US,"Big and bold, a ripe, oaky Chardonnay that needs some time in the cellar to come together. Offers tiers of apricot, pear, peach and nectarine flavors, with a stony minerality and crisp acidity that makes the mouth water. Bone dry and complex, this Chablisian Chardonnay will blossom some time in 2010.",92,30.0,California,Santa Barbara County,Chardonnay,Fess Parker
US,"Apricots, grapefruits, apples, figs, peaches, melons—there's a whole orchard in this dry, crisp PG. It has a particular savory character from the citrusy acids. What a great price for this wine.",86,10.0,California,California,Pinot Grigio,McManis
US,"Fruity and spritzy, this fragrant, screwcapped Chardonnay is scented with apples, pears, a hint of grapefruit and spice. It's front-loaded, nicely balanced at 13% alcohol, and best enjoyed lightly chilled.",87,15.0,Oregon,Oregon,Chardonnay,A to Z
